
127.0.0.1 | 2026-04-17 20:46:38 | /index.html | 200 OK
127.0.0.1 | 2026-04-17 21:03:50 | /image_test.html | 304 Not Modified
127.0.0.1 | 2026-04-17 21:06:39 | /index.html | 200 OK
127.0.0.1 | 2026-04-17 21:06:40 | /image_test.html | 200 OK
127.0.0.1 | 2026-04-17 21:06:40 | /test.jpg | 200 OK
127.0.0.1 | 2026-04-17 21:09:42 | /index.html | 200 OK
127.0.0.1 | 2026-04-17 22:06:27 | /missing.html | 404 Not Found
127.0.0.1 | 2026-04-17 22:09:03 | /index.html | 400 Bad Request
127.0.0.1 | 2026-04-17 22:13:17 | /server.py | 404 Not Found
127.0.0.1 | 2026-04-17 22:15:00 | /webserver.py | 404 Not Found
127.0.0.1 | 2026-04-17 22:31:47 | /../secret.txt | 403 Forbidden
127.0.0.1 | 2026-04-17 22:36:44 | /../secret.txt | 403 Forbidden
127.0.0.1 | 2026-04-17 22:39:19 | /index.html | 304 Not Modified
127.0.0.1 | 2026-04-17 22:57:26 | /index.html | 200 OK
127.0.0.1 | 2026-04-17 22:58:08 | /index.html | 200 OK
